2024-09-12 13:05:59.297 | error | comm.tls.server | remote_address=127.0.0.1:36226 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 84.61503ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:05:59.302 | error | comm.tls.server | remote_address=127.0.0.1:36200 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 87.618654ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:05:59.303 | error | comm.tls.server | remote_address=127.0.0.1:36218 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 78.171189ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:05:59.303 | error | comm.tls.server | remote_address=127.0.0.1:36202 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 88.742138ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:05:59.304 | error | comm.tls.server | remote_address=127.0.0.1:36224 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 70.392019ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:00.312 | error | comm.tls.server | remote_address=127.0.0.1:36252 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 5.5476ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:00.319 | error | comm.tls.server | remote_address=127.0.0.1:36232 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 11.767933ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:00.324 | error | comm.tls.server | remote_address=127.0.0.1:36236 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 15.376385ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:00.325 | error | comm.tls.server | remote_address=127.0.0.1:36274 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 6.453854ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:00.333 | error | comm.tls.server | remote_address=127.0.0.1:36262 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 13.568321ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:02.217 | error | comm.tls.server | remote_address=127.0.0.1:60438 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 9.735596ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:02.227 | error | comm.tls.server | remote_address=127.0.0.1:60474 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 4.548509ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:02.223 | error | comm.tls.server | remote_address=127.0.0.1:60454 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 7.60839ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:02.229 | error | comm.tls.server | remote_address=127.0.0.1:60488 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 6.104532ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:02.229 | error | comm.tls.server | remote_address=127.0.0.1:60470 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 13.388719ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:03.225 | error | comm.tls.server | remote_address=127.0.0.1:60490 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 2.040953ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:03.237 | error | comm.tls.server | remote_address=127.0.0.1:60504 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 8.864628ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:03.246 | error | comm.tls.server | remote_address=127.0.0.1:60510 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 10.875837ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:03.249 | error | comm.tls.server | remote_address=127.0.0.1:60512 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 3.591033ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:03.256 | error | comm.tls.server | remote_address=127.0.0.1:60524 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 5.527812ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:04.782 | error | comm.tls.server | remote_address=127.0.0.1:60530 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 3.468566ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
2024-09-12 13:06:04.826 | error | comm.tls.server | remote_address=127.0.0.1:60538 | mayy/internal/pkg/comm/creds.go_ServerHandshake:117 => Server TLS handshake failed after 3.155333ms with error: tls: failed to verify certificate: x509: certificate signed by unknown authority.
